similar_product,similar_inv_scancode,similar_inv_pk,similarity_score,similar_brd_name,similar_dpt_name,original_product,inv_pk,brd_name,inv_scancode
puree pouch banana raspberry rice og,35698,23923320147,0.96189964,Earth's Best                  ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  ,23923200173
puree pouch baby banana blueberry,34187,23923330085,0.9715611,Earth's Best                  ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  ,23923200173
organic avocados 4 count,1244908,33383401676,0.99018997,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
organic fair trade avocados 4pk,106081,7.46E+11,0.9660283,Equal Exchange                ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
organic green skin avocados,66959,94226,0.9836471,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
organic mangoes,12168,94051,0.96117723,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       ,94046
peppercorns black,67262,7156,0.96605337,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
organic everything blend,66669,6847,0.9663527,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
organic white minced onion,60068,7270,0.9661976,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
garlic powder,49985,7273,0.9653812,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
ground sumac berries,49477,7265,0.97015405,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 ,7239
organic eucalyptus leaf,134418,7744,0.96124816,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
peppercorns black,67262,7156,0.9646082,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
organic everything blend,66669,6847,0.9622895,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
garlic powder,49985,7273,0.9660257,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
ground sumac berries,49477,7265,0.9634799,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 ,7074
organic cilantro leaf,586076,7748,0.96819574,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
organic eucalyptus leaf,134418,7744,0.980484,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
gentian root,134417,7743,0.97072315,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
peppercorns black,67262,7156,0.9768634,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
organic berbere seasoning,67176,6616,0.97210854,Frontier Coop                 ,Bulk                          ,infant formula dha & ara og,9867,Frontier Coop                 ,7081
