similar_product,similar_inv_pk,similarity_score,similar_brd_name,similar_dpt_name,original_product,inv_pk,brd_name
organic greens baby food,1171804,0.9286775,Happy Baby                    ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
bluerasperry banana,553158,0.94187206,Peter Rabbit Organics         ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
root vegetable pouch og,133596,0.9122448,Serenity Kids                 ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
food baby carrot peas og,54775,0.92064285,Happy Baby                    ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
beet carot & pear og,42845,0.9168041,Peter Rabbit Organics         ,Packaged Grocery              ,winter squash og,43760,Earth's Best                  
organic golden nugget mandarins,1351308,0.9296079,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic buddha's hand,1351138,0.9122572,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic jumbo kiwi 1# clamshell,1318957,0.9316492,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic avocados 4 count,1244908,0.9953983,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic green tomato,670027,0.93370694,Produce                       ,Produce                       ,pouch squash & sweet pea,12108,Produce                       
organic cilantro leaf,586076,0.980562,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
tarragon leaf og,486061,0.9454127,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
organic celery salt,486059,0.93651986,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
organic eucalyptus leaf,134418,0.9714596,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
gentian root,134417,0.975306,Frontier Coop                 ,Bulk                          ,bananas og,37593,Frontier Coop                 
organic cilantro leaf,586076,0.9584979,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
tarragon leaf og,486061,0.95206094,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
organic celery salt,486059,0.92174494,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
organic eucalyptus leaf,134418,0.95863825,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
gentian root,134417,0.9510923,Frontier Coop                 ,Bulk                          ,infant formula sens iron og,9860,Frontier Coop                 
