inv_pk,inv_scancode,original_product,similar_product,similarity_score,similar_inv_pk,similar_brd_name,similar_dpt_name
43746,23923300347,winter squash og,og squash pouch,0.985489819,133589,Serenity Kids                 ,Packaged Grocery              
43746,23923300347,winter squash og,carrot squash & apple og,0.98405446,42841,Peter Rabbit Organics         ,Packaged Grocery              
43746,23923300347,winter squash og,pouch squash & sweet pea,0.983325438,43750,Earth's Best                  ,Packaged Grocery              
43746,23923300347,winter squash og,organic sweet potato cinnamon cereal,0.980824015,38753,Earth's Best                  ,Packaged Grocery              
43746,23923300347,winter squash og,organic greens baby food,0.978246342,1171804,Happy Baby                    ,Packaged Grocery              
43746,23923300347,winter squash og,strawberry & banana og,0.978134399,42844,Peter Rabbit Organics         ,Packaged Grocery              
43746,23923300347,winter squash og,"winter rose 6 5""",0.978103617,452250,Dan Schantz Flowers           ,Floral                        
43750,23923330344,pouch squash & sweet pea,og squash pouch,0.991802897,133589,Serenity Kids                 ,Packaged Grocery              
43750,23923330344,pouch squash & sweet pea,carrot squash & apple og,0.988098352,42841,Peter Rabbit Organics         ,Packaged Grocery              
43750,23923330344,pouch squash & sweet pea,organic sweet potato cinnamon cereal,0.985371707,38753,Earth's Best                  ,Packaged Grocery              
43750,23923330344,pouch squash & sweet pea,winter squash og,0.983325438,43746,Earth's Best                  ,Packaged Grocery              
43750,23923330344,pouch squash & sweet pea,butternut squash og,0.983116672,23631,Farmers Market                ,Packaged Grocery              
43750,23923330344,pouch squash & sweet pea,organic greens baby food,0.982918627,1171804,Happy Baby                    ,Packaged Grocery              
43750,23923330344,pouch squash & sweet pea,organic butternut squash,0.982562606,17949,Produce                       ,Produce                       
43760,23923200173,bananas og,strawberry & banana og,0.98896279,42844,Peter Rabbit Organics         ,Packaged Grocery              
43760,23923200173,bananas og,organic sweet potato cinnamon cereal,0.987316366,38753,Earth's Best                  ,Packaged Grocery              
43760,23923200173,bananas og,carrot squash & apple og,0.986509681,42841,Peter Rabbit Organics         ,Packaged Grocery              
43760,23923200173,bananas og,organic greens baby food,0.986274346,1171804,Happy Baby                    ,Packaged Grocery              
43760,23923200173,bananas og,food baby carrot peas og,0.982262303,54775,Happy Baby                    ,Packaged Grocery              
43760,23923200173,bananas og,puree pouch baby banana blueberry,0.982101266,34187,Earth's Best                  ,Packaged Grocery              
43760,23923200173,bananas og,beet carot & pear og,0.981385585,42845,Peter Rabbit Organics         ,Packaged Grocery              
43762,23923100602,infant formula sens iron og,infant formula dha & ara og,0.957956461,43763,Earth's Best                  ,Packaged Grocery              
43763,23923100442,infant formula dha & ara og,infant formula sens iron og,0.957956461,43762,Earth's Best                  ,Packaged Grocery              
43803,89991516615,black forest uncured ham,ham uncured honey maple,0.984683841,44326,Plainville                    ,Meat                          
43803,89991516615,black forest uncured ham,black forest ham,0.972994899,383028,Applegate                     ,Meat                          
43803,89991516615,black forest uncured ham,black forest sliced ham og,0.969960624,70146,North Country                 ,Meat                          
43803,89991516615,black forest uncured ham,ham uncured sliced,0.968921744,25109,Applegate                     ,Meat                          
43803,89991516615,black forest uncured ham,ground beef,0.965543512,281870,Vermont Family Farms          ,Meat                          
43803,89991516615,black forest uncured ham,ground beef og,0.965230551,281869,Vermont Family Farms          ,Meat                          
43803,89991516615,black forest uncured ham,uncured half ham,0.964329747,214282,Niman Ranch                   ,Meat                          
12108,94046,organic avocados,organic green skin avocados,0.9983937,66959,Produce                       ,Produce                       
12108,94046,organic avocados,organic avocados 4 count,0.997133473,1244908,Produce                       ,Produce                       
12108,94046,organic avocados,organic fair trade avocados 4pk,0.99608531,106081,Equal Exchange                ,Produce                       
12108,94046,organic avocados,organic pineapple,0.994632261,24362,Produce                       ,Produce                       
12108,94046,organic avocados,organic bananas,0.993695177,13652,Produce                       ,Produce                       
12108,94046,organic avocados,organic papaya,0.993597433,24458,Produce                       ,Produce                       
12108,94046,organic avocados,organic mangoes,0.993108728,12168,Produce                       ,Produce                       
18182,93107,organic navel oranges,organic navel oranges 4# bag,0.997252308,29747,Produce                       ,Produce                       
18182,93107,organic navel oranges,organic blood oranges,0.995283739,14046,Sunkist                       ,Produce                       
18182,93107,organic navel oranges,organic valencia oranges,0.994469193,12187,Produce                       ,Produce                       
18182,93107,organic navel oranges,oranges navel 4# bag,0.994419767,68108,Sunkist                       ,Produce                       
18182,93107,organic navel oranges,oranges valencia 4#bag,0.993193265,27666,Produce                       ,Produce                       
18182,93107,organic navel oranges,organic lemons,0.992409675,12161,Produce                       ,Produce                       
18182,93107,organic navel oranges,organic clementine,0.99233757,28819,Produce                       ,Produce                       
8684,79565005133,nasal cleansing pot,salt nasal cleansing pot,0.979263837,28186,Ancient Secrets               ,Body Care                     
8684,79565005133,nasal cleansing pot,nasal cleansing salt 40pk,0.978577896,31401,Ancient Secrets               ,Body Care                     
8684,79565005133,nasal cleansing pot,ear candles 100% beeswax,0.978434269,58602,Wally's                       ,Body Care                     
8684,79565005133,nasal cleansing pot,salt nasal cleansing,0.97748353,52665,Ancient Secrets               ,Body Care                     
8684,79565005133,nasal cleansing pot,propolis nasal spray,0.974234725,1012557,Beekeeper's Naturals          ,Supplements                   
8684,79565005133,nasal cleansing pot,lip balm tea tree,0.973092626,281795,Badger                        ,Body Care                     
8684,79565005133,nasal cleansing pot,hand sanitizer 80%,0.972663835,55059,Barr Hill                     ,Body Care                     
9498,6168,organic decaf breakfast blend coffee,organic breakfast blend coffee,0.997840222,9483,Equal Exchange                ,Bulk                          
9498,6168,organic decaf breakfast blend coffee,organic decaf french roast coffee,0.994696943,9499,Equal Exchange                ,Bulk                          
9498,6168,organic decaf breakfast blend coffee,organic mexican coffee,0.993809669,59438,Equal Exchange                ,Bulk                          
9498,6168,organic decaf breakfast blend coffee,organic coffee chocolate truffle,0.993254839,25198,Coffee Connection             ,Bulk                          
9498,6168,organic decaf breakfast blend coffee,organic colombian coffee,0.992919704,45567,Equal Exchange                ,Bulk                          
9498,6168,organic decaf breakfast blend coffee,organic french roast coffee,0.992525716,9486,Equal Exchange                ,Bulk                          
9498,6168,organic decaf breakfast blend coffee,organic midnight sun coffee,0.991649569,22424,Equal Exchange                ,Bulk                          
37398,8.30E+11,gum pouch spearmint,gum cinnamon,0.995104017,39135,Pur                           ,Packaged Grocery              
37398,8.30E+11,gum pouch spearmint,gum peppermint,0.994887084,32832,Pur                           ,Packaged Grocery              
37398,8.30E+11,gum pouch spearmint,gum wintergreen,0.993513981,35609,Pur                           ,Packaged Grocery              
37398,8.30E+11,gum pouch spearmint,chewing gum fruit,0.991760148,66956,Spry                          ,Packaged Grocery              
37398,8.30E+11,gum pouch spearmint,organic wintermints,0.989813025,134253,St Claires                    ,Packaged Grocery              
37398,8.30E+11,gum pouch spearmint,peppermints og,0.989683066,134252,St Claires                    ,Packaged Grocery              
37398,8.30E+11,gum pouch spearmint,sour lemon tarts,0.98848238,134251,St Claires                    ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,gum wintergreen,0.982215236,35609,Pur                           ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,gum pouch spearmint,0.979984095,37398,Pur                           ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,gum cinnamon,0.978584088,39135,Pur                           ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,gum peppermint,0.978370756,32832,Pur                           ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,chewing gum fruit,0.975282081,66956,Spry                          ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,organic wintermints,0.970457308,134253,St Claires                    ,Packaged Grocery              
37396,8.30E+11,gum pouch wintergreen,peppermints og,0.97032989,134252,St Claires                    ,Packaged Grocery              
12168,94051,organic mangoes,mangoes,0.997866669,49334,Produce                       ,Produce                       
12168,94051,organic mangoes,organic ataulfo mangoes,0.996516729,22216,Produce                       ,Produce                       
12168,94051,organic mangoes,organic pineapple,0.995781023,24362,Produce                       ,Produce                       
12168,94051,organic mangoes,organic bananas,0.994842857,13652,Produce                       ,Produce                       
12168,94051,organic mangoes,organic papaya,0.994745,24458,Produce                       ,Produce                       
12168,94051,organic mangoes,organic dragon fruit,0.994282887,53006,Produce                       ,Produce                       
12168,94051,organic mangoes,coconut chunks og,0.994230035,60094,Produce                       ,Produce                       
32019,7.46E+11,tea jasmine green og 20 bag,tea green og 20 bag,0.998327967,32013,Equal Exchange                ,Packaged Grocery              
32019,7.46E+11,tea jasmine green og 20 bag,tea mint green og 20 bag,0.997041488,32018,Equal Exchange                ,Packaged Grocery              
32019,7.46E+11,tea jasmine green og 20 bag,tea green ginger og,0.994762744,66451,Equal Exchange                ,Packaged Grocery              
32019,7.46E+11,tea jasmine green og 20 bag,tea green japanese og,0.992210788,7633,Choice Organic Teas           ,Packaged Grocery              
32019,7.46E+11,tea jasmine green og 20 bag,tea green matcha og,0.990731282,66328,Traditional Medicinals        ,Packaged Grocery              
32019,7.46E+11,tea jasmine green og 20 bag,organic matcha green tea,0.99060107,1244876,Pukka                         ,Packaged Grocery              
32019,7.46E+11,tea jasmine green og 20 bag,tea jasmine green rishi og,0.990563757,39616,Rishi                         ,Packaged Grocery              
25251,13562300396,mac & chs classic chd og,mac&chs classic og grassfed,0.978476729,40654,Annie's                       ,Packaged Grocery              
25251,13562300396,mac & chs classic chd og,organic classic mac & cheese,0.976434354,25121,Annie's                       ,Packaged Grocery              
25251,13562300396,mac & chs classic chd og,mac & chs alfrdo shls & chd og,0.966504167,13933,Annie's                       ,Packaged Grocery              
25251,13562300396,mac & chs classic chd og,organic shells & cheddar,0.963760106,13699,Annie's                       ,Packaged Grocery              
25251,13562300396,mac & chs classic chd og,organic shells & real aged cheddar,0.963626029,21612,Annie's                       ,Packaged Grocery              
